trip_id;route_id;service_id;trip_headsign;direction_id;wheelchair_accessible;bike_slots
0003235842024090920250627;227;52024090920250627;Feltre. Staz. Fs;0;0;0
0003204682024090920250627;80;22024090920250627;Trento. Autostazione;1;0;0
0003201542024090920250627;171;22024090920250627;Riva Del G.Autostazione;1;0;0
0003265012024102120250627;120;72024102120250627;Trento. Autostazione;1;0;0
0003221502024090920250627;220;822024090920250627;Rovereto. Via Manzoni;1;0;0
0003241212024090920250627;375;92024090920250627;Passo Mendola;0;0;0
0003237332024090920250627;108;4512024090920250627;Borgo Valsugana-C.Intermodale;1;0;0
0003231912024090920250627;520;42024090920250627;Levico Terme Autostazione;1;0;0
0003206182024090920250627;175;42024090920250627;Trento. Autostazione;1;0;0
0003247972024090920250627;401;822024090920250627;Vervo' Centro Sportivo Parch.;0;0;0
0003197492024090920250627;343;42024090920250627;Faedo. Pineta;0;0;0
0003225932024090920250627;717;22024090920250627;Bassano Del Grappa;0;0;0
0003217092024090920250627;634;22024090920250627;Trento. Autostazione;1;0;0
0003243512024090920250627;703;72024090920250627;Trento. Autostazione;1;0;0
0003199332024090920250627;340;62024090920250627;Mezzocorona-Staz.Fs;0;0;0
0003236222024090920250627;618;22024090920250627;Sagron;0;0;0
0003210842024090920250627;157;72024090920250627;Baitoni;0;0;0
0003230802024090920250627;188;52024090920250627;Tenna;0;0;0
0003227002024090920250627;184;42024090920250627;Borgo Valsugana-C.Intermodale;1;0;0
0003232642024090920250627;549;22024090920250627;Nogare';0;0;0
0003247032024120820250316;336;6212024120820250316;Peio;0;0;0
0003218842024090920250627;110;22024090920250627;Trento. Autostazione;1;0;0
0003215802024090920250627;181;4512024090920250627;Aldeno;0;0;0
0003202932024090920250627;76;92024090920250627;Trento. Autostazione;1;0;0
0003263672024120120250627;695;22024120120250627;Bassano Del Grappa. Staz. Fs;0;0;6
0003265422024103020250627;231;42024103020250627;Rovereto. Via Manzoni;1;0;0
0003210142024090920250627;157;52024090920250627;Lodrone;1;0;0
0003208642024090920250627;161;52024090920250627;Tavodo-Incr.S.P.;1;0;0
0003224122024090920250627;186;4512024090920250627;Trento. Autostazione;1;0;0
0003197372024090920250627;343;22024090920250627;Mezzocorona Ferr.;1;0;0
0003209542024090920250627;71;22024090920250627;Ponte Arche Autostazione;1;0;0
0003203482024090920250627;80;22024090920250627;Trento. Autostazione;1;0;0
0003265142024102120250627;120;62024102120250627;Trento. Autostazione;1;0;0
0003229502024090920250627;188;22024090920250627;Pergine V. Intermodale;1;0;0
0003265302024102520250627;364;52024102520250627;Fondo. Via Garibaldi;0;0;0
0003245852024090920250627;328;502024090920250627;Menas;0;0;0
0003217722024090920250627;634;72024090920250627;Rovereto. Via Paoli;1;0;0
0003235642024090920250627;102;22024090920250627;S.Martino di Castrozza;1;0;0
0003234102024090920250627;552;42024090920250627;Pergine V. Intermodale;1;0;0
0003219952024090920250627;233;42024090920250627;Brentonico;0;0;0
0003223852024090920250627;186;22024090920250627;Centa;0;0;0
0003240772024090920250627;345;4512024090920250627;Molveno;0;0;0
0003199432024090920250627;340;22024090920250627;Rovere'. Trentinalatte;0;0;0
0003212762024090920250627;636;22024090920250627;Campo Carlo Magno;0;0;0
0003195822024090920250627;1;22024090920250627;Penia. Str. Pian Trevisan;0;0;0
0003229322024090920250627;98;22024090920250627;Borgo Valsugana-C.Intermodale;1;0;0
0003223932024090920250627;186;22024090920250627;Trento. Autostazione;1;0;0
0003227162024090920250627;184;52024090920250627;Rincheri;0;0;0
0003220392024090920250627;110;4512024090920250627;Rovereto. Via Manzoni;0;0;0
0003263902024093020241130;717;22024093020241130;Primolano. Staz. Fs;1;0;0
0003223502024090920250627;186;22024090920250627;Centa;0;0;0
0003230602024090920250627;179;52024090920250627;Pergine V. Intermodale;1;0;0
0003234832024090920250627;551;22024090920250627;Pergine V. Intermodale;1;0;0
0003213952024090920250627;200;4512024090920250627;Ala. Staz. Fs.;0;0;0
0003201462024090920250627;171;22024090920250627;Tiarno di Sopra;0;0;0
0003233912024090920250627;549;22024090920250627;Pergine V. Intermodale;1;0;0
0003221422024090920250627;220;62024090920250627;Pra Da Lac;0;0;0
0003217102024090920250627;634;22024090920250627;Rovereto. Via Paoli;1;0;0
0003235452024090920250627;717;22024090920250627;Trento. Staz. Fs;1;0;0
0003214652024090920250627;196;62024090920250627;Lavarone Cappella;0;0;0
0003199242024090920250627;340;52024090920250627;Mezzocorona-Staz.Fs;1;0;0
0003203392024090920250627;80;72024090920250627;Trento. Autostazione;1;0;0
0003234982024090920250627;562;6272024090920250627;Pergine V. Intermodale;1;0;0
0003193522024090920250627;604;52024090920250627;Cavalese. Ospedale;0;0;0
0003222122024090920250627;196;72024090920250627;Rovereto. Staz. Fs;1;0;0
0003203972024090920250627;80;22024090920250627;M. Terlago. Htl 2 Laghi;0;0;0
0003217802024090920250627;110;22024090920250627;Arco. Autostazione;0;0;0
0003246582024090920250627;336;72024090920250627;Mezzana. Staz Ftm;1;0;0
0003248772024090920250627;357;22024090920250627;Lanza di Rumo;0;0;0
0003227232024090920250627;184;5902024090920250627;Borgo Valsugana-C.Intermodale;1;0;0
0003220002024090920250627;235;52024090920250627;Nomesino;0;0;0
0003201852024090920250627;171;822024090920250627;Storo;0;0;0
0003221812024090920250627;196;6272024090920250627;Mezzomonte;1;0;0
0003205002024090920250627;134;22024090920250627;Sarche. Centro Comm.;1;0;0
0003202812024090920250627;71;22024090920250627;Ponte Arche Autostazione;1;0;0
0003228992024090920250627;520;52024090920250627;Trento. Autostazione;1;0;0
0003234782024090920250627;549;42024090920250627;Pergine V. Intermodale;1;0;0
0003203492024090920250627;71;22024090920250627;Tione. Autostazione;0;0;0
0003246042024090920250627;324;62024090920250627;Male';1;0;0
0003215842024090920250627;181;42024090920250627;Aldeno;0;0;0
0003238602024090920250627;116;62024090920250627;Caoria;0;0;0
0003209462024090920250627;71;22024090920250627;Tione. Autostazione;0;0;0
0003265052024102120250627;71;72024102120250627;Trento. Autostazione;1;0;0
0003263162024092720250627;340;62024092720250627;Rovere'. Trentinalatte;0;0;0
0003210102024090920250627;687;6272024090920250627;Terlago;1;0;0
0003237372024090920250627;108;352024090920250627;Borgo Valsugana-C.Intermodale;1;0;0
0003197382024090920250627;343;52024090920250627;Faedo. Pineta;0;0;0
0003220492024090920250627;110;42024090920250627;Rovereto. Via Manzoni;0;0;0
0003229562024090920250627;520;22024090920250627;Borgo V. Valli;0;0;0
0003244452024090920250627;336;72024090920250627;Peio;0;0;0
0003234112024090920250627;554;22024090920250627;Ischia di Pergine;0;0;0
0003249142024090920250627;375;52024090920250627;Malgolo Piazza De Betta;1;0;0
0003225972024090920250627;96;52024090920250627;Svaldi;0;0;0
0003264402024093020241130;695;72024093020241130;Trento. Staz. Fs;1;0;6
0003214442024090920250627;198;22024090920250627;Folgaria. Via Battisti;0;0;0
0003238092024090920250627;618;4512024090920250627;Fiera di Primiero;1;0;0
0003222392024090920250627;526;22024090920250627;Pergine V. Intermodale;1;0;0
0003208042024090920250627;134;62024090920250627;S. Massenza;0;0;0
0003204702024090920250627;175;52024090920250627;V.Cavedine. Via S.Udalrico;0;0;0
0003198032024090920250627;300;822024090920250627;Civezzano;0;0;0
0003229812024090920250627;188;42024090920250627;Levico T. Via Avancini;0;0;0
0003219202024090920250627;503;52024090920250627;Avio-Carabinieri;0;0;0
0003225872024090920250627;92;52024090920250627;Baselga di Pine'. Lago;1;0;0
0003202662024090920250627;71;72024090920250627;Ponte Arche Autostazione;1;0;0
0003263632024120120250627;691;72024120120250627;Bassano Del Grappa. Staz. Fs;0;0;6
0003224882024090920250627;231;62024090920250627;Brentonico;0;0;0
0003265462024103020250627;231;22024103020250627;Saccone;0;0;0
0003220552024090920250627;634;42024090920250627;Bolognano;0;0;0
0003218942024090920250627;503;62024090920250627;Serravalle;0;0;0
0003246282024090920250627;336;22024090920250627;Fucine;1;0;0
0003195142024090920250627;3;22024090920250627;Capriana;1;0;0
0003260792024090920250627;638;72024090920250627;Ora-Staz. Fs;1;0;0
0003243142024090920250627;366;822024090920250627;Mezzocorona-Staz.Fs;1;0;0
0003236982024090920250627;311;52024090920250627;Busarel;0;0;0
0003192442024090920250627;136;22024090920250627;Cavalese. Autostazione;0;0;0
0003205932024090920250627;153;42024090920250627;Pranzo;0;0;0
0003205332024122220250322;76;72024122220250322;Trento. Autostazione;1;0;0
0003261022024090920250627;638;42024090920250627;Cavalese. Autostazione;0;0;0
0003202042024090920250627;73;62024090920250627;Tione. Autostazione;1;0;0
0003222002024090920250627;186;22024090920250627;Pian Dei Pradi;1;0;0
0003203142024090920250627;76;4512024090920250627;Sardagna-Rotatoria;0;0;0
0003196072024090920250627;120;52024090920250627;Faver Bivio;1;0;0
0003207002024090920250627;78;52024090920250627;Vezzano. Sud;1;0;0
0003262952024091420250627;175;822024091420250627;Arco. Svizzera;0;0;0
0003240732024090920250627;345;52024090920250627;Molveno;0;0;0
0003199202024090920250627;340;62024090920250627;Rovere'. Trentinalatte;0;0;0
0003243792024090920250627;397;52024090920250627;Cles. Autostazione;1;0;0
0003236782024090920250627;108;12024090920250627;Feltre. Staz. Fs;0;0;0
0003238572024090920250627;116;52024090920250627;Caoria;0;0;0
0003218802024090920250627;507;62024090920250627;Avio. Via M.Baldo;0;0;0
0003217842024090920250627;634;4512024090920250627;Trento. Autostazione;1;0;0
0003204632024090920250627;175;22024090920250627;Riva Del G.Autostazione;0;0;0
0003227272024090920250627;90;92024090920250627;Levico Terme Autostazione;1;0;0
0003198962024090920250627;300;822024090920250627;Civezzano;0;0;0
0003231242024090920250627;177;6512024090920250627;Pergine V. Intermodale;1;0;0
0003245402024090920250627;326;822024090920250627;Male';1;0;0
0003251602024090920250627;345;62024090920250627;Mezzocorona-Staz.Fs;1;0;0
0003213442024122620250323;196;72024122620250323;Lavarone Cappella;0;0;0
0003263492024093020241130;695;4512024093020241130;Primolano. Staz. Fs;0;0;6
0003201422024090920250627;171;412024090920250627;Riva Del G.Autostazione;1;0;0
0003197802024090920250627;120;92024090920250627;Trento. Autostazione;1;0;0
0003238282024090920250627;116;52024090920250627;Canal S. Bovo;1;0;0
0003234612024090920250627;640;22024090920250627;Via S.Pietro 82-Villa Rosa;0;0;0
0003203192024090920250627;76;22024090920250627;Trento. Autostazione;1;0;0
0003262482024091020250627;420;12024091020250627;Riva Del G. Autostazione;0;0;0
0003230482024090920250627;552;22024090920250627;Roncogno;0;0;0
0003234932024090920250627;562;4512024090920250627;S.Vito di Pergine;0;0;0
0003241102024090920250627;345;42024090920250627;Andalo-Maso Toscana;0;0;0
0003202122024090920250627;171;822024090920250627;Riva Del G.Autostazione;1;0;0
0003244692024090920250627;332;22024090920250627;Male';1;0;0
0003206702024090920250627;134;42024090920250627;Trento. Autostazione;1;0;0
0003248732024090920250627;357;22024090920250627;Bresimo;0;0;0
0003264922024102120250627;366;62024102120250627;Mezzocorona-Staz.Fs;1;0;0
0003204622024090920250627;175;22024090920250627;Vigo Cavedine;0;0;0
0003201812024090920250627;171;72024090920250627;Riva Del G.Autostazione;1;0;0
0003263822024093020241130;717;22024093020241130;Primolano. Staz. Fs;1;0;0
0003220472024090920250627;634;62024090920250627;Riva Del G.Autostazione;0;0;0
