service_id;monday;tuesday;wednesday;thursday;friday;saturday;sunday;start_date;end_date
12024090920250612;1;1;1;1;1;1;1;20240909;20250612
22024090920250612;1;1;1;1;1;1;0;20240909;20250612
22024092520250612;1;1;1;1;1;1;0;20240925;20250612
32024090920250612;1;1;1;1;1;1;0;20240909;20250612
32024092520250612;1;1;1;1;1;1;0;20240925;20250612
32024093020250612;1;1;1;1;1;1;0;20240930;20250612
52024090920250612;0;0;0;0;0;0;1;20240909;20250612
92024090920250612;1;1;1;1;1;0;0;20240909;20250612
102024090920250612;1;1;1;1;1;0;0;20240909;20250612
102024093020250612;1;1;1;1;1;0;0;20240930;20250612
112024090920250612;1;1;1;1;0;0;0;20240909;20250612
252024090920250612;0;0;0;0;0;1;0;20240909;20250612
522024093020250612;1;1;1;1;1;1;0;20240930;20250612
532024090920250612;1;1;1;1;1;0;0;20240909;20250612
592024090920250612;1;1;1;1;1;1;0;20240909;20250612
592024100720250612;1;1;1;1;1;1;0;20241007;20250612
602024090920250612;1;1;1;1;1;1;0;20240909;20250612
622024090920250612;0;0;0;0;0;0;1;20240909;20250612
662024090920250612;1;1;1;1;1;0;0;20240909;20250612
672024090920250612;1;1;1;1;1;0;0;20240909;20250612
672024091020250612;1;1;1;1;1;0;0;20240910;20250612
672024091620250612;1;1;1;1;1;0;0;20240916;20250612
672024100720250612;1;1;1;1;1;0;0;20241007;20250612
672024100920250612;1;1;1;1;1;0;0;20241009;20250612
672024101620250612;1;1;1;1;1;0;0;20241016;20250612
682024090920250612;1;1;1;1;0;0;0;20240909;20250612
692024090920250612;0;0;0;0;1;0;0;20240909;20250612
772024090920250612;0;0;0;0;0;1;0;20240909;20250612
772024101620250612;0;0;0;0;0;1;0;20241016;20250612
1092024090920250612;1;1;1;1;1;1;0;20240909;20250612
1402024090920250612;1;1;1;1;1;1;1;20240909;20250612
1432024090920250612;1;1;1;1;1;0;0;20240909;20250612
1432024091620250612;1;1;1;1;1;0;0;20240916;20250612
1442024090920250612;1;1;1;1;1;1;0;20240909;20250612
1452024090920250612;0;0;0;0;0;1;0;20240909;20250612
1462024090920250612;1;1;1;1;1;0;0;20240909;20250612
1462024091620250612;1;1;1;1;1;0;0;20240916;20250612
1472024090920250612;1;1;1;1;1;1;0;20240909;20250612
1472024091620250612;1;1;1;1;1;1;0;20240916;20250612
1482024090920250612;1;1;1;1;1;0;0;20240909;20250612
1552024090920250612;0;0;1;0;0;0;0;20240909;20250612
1562024090920250612;1;0;1;1;0;0;0;20240909;20250612
1572024090920250612;0;1;0;0;1;0;0;20240909;20250612
1642024090920250612;0;0;0;0;0;1;0;20240909;20250612
1712024090920250612;0;0;0;0;0;1;0;20240909;20250612
1722024090920250612;1;1;0;1;1;1;0;20240909;20250612
