id;access;fee;capacity;type;latitude;longitude;city_id
relation/3976718;customers;no;-1;surface;46.08346;11.1147573;1
relation/10065746;public;no;-1;surface;46.11111;11.0918762;1
way/23976836;public;no;345;surface;46.065868;11.1147932;1
way/24441737;public;yes;250;surface;46.057306;11.1137191;1
way/24443797;public;yes;-1;surface;46.056269;11.1353066;1
way/24860487;public;yes;488;multi-storey;46.0734919;11.1242894;1
way/24862337;public;no;-1;multi-storey;46.0653537;11.1402548;1
way/24875029;permissive;no;324;surface;46.0400942;11.1229657;1
way/24875467;public;yes;152;surface;46.074831;11.1213076;1
way/24875542;public;yes;64;surface;46.0804417;11.1178169;1
way/24914034;public;yes;188;surface;46.0550622;11.1351121;1
way/24915127;public;no;1096;surface;46.0759057;11.1098849;1
way/25422740;public;no;-1;surface;46.0172246;11.1051446;1
way/25424794;customers;no;-1;surface;46.0175845;11.107306;1
way/25483806;public;no;-1;surface;46.0575949;11.1172512;1
way/26623012;public;no;-1;surface;46.0766783;11.1423528;1
way/26625335;public;no;-1;surface;46.0808233;11.15857;1
way/29149789;permissive;no;-1;surface;46.0408969;11.1235834;1
way/29179677;public;no;-1;surface;46.0678431;11.1848577;1
way/30110943;public;no;-1;surface;46.0661843;11.1537609;1
way/32225694;public;no;-1;surface;46.0885661;11.1206362;1
way/33559266;public;no;-1;surface;46.0729692;11.1094208;1
way/36805947;public;no;-1;surface;46.0511432;11.1447758;1
way/36805948;public;no;35;surface;46.0514579;11.1447148;1
way/36805949;public;no;-1;surface;46.0517734;11.1456732;1
way/36806259;public;no;-1;surface;46.0516575;11.1459386;1
way/36806471;public;no;102;surface;46.0445343;11.1393252;1
way/36812340;public;no;-1;surface;46.0517021;11.1496799;1
way/36867469;customers;no;-1;surface;46.0475332;11.1266023;1
way/36868180;public;no;-1;surface;46.0478343;11.1332355;1
way/36868763;public;no;14;street_side;46.0503819;11.1356241;1
way/36869214;public;no;-1;surface;46.0553137;11.1490722;1
way/36875640;customers;no;-1;rooftop;46.0473626;11.1306486;1
way/36880938;permissive;no;-1;surface;46.1054954;11.108488;1
way/36881137;customers;no;-1;surface;46.0912097;11.1139676;1
way/36905487;public;no;33;surface;46.0494307;11.1235208;1
way/36979166;public;no;-1;surface;46.0411259;11.1407756;1
way/36979837;public;no;-1;surface;46.0402167;11.1377881;1
way/36979839;public;no;-1;street_side;46.0403268;11.1380763;1
way/36989822;customers;no;-1;street_side;46.0446164;11.130445;1
way/37016999;customers;yes;-1;surface;46.0561014;11.1312309;1
way/37102134;public;no;-1;surface;46.0403646;11.1334766;1
way/37242023;public;no;-1;surface;46.1084556;11.1089054;1
way/37246727;customers;no;90;surface;46.0841539;11.1207853;1
way/37264443;public;no;-1;surface;46.0650529;11.1532201;1
way/37264979;public;no;-1;surface;46.038972;11.1540291;1
way/37285164;public;yes;-1;surface;46.0749017;11.1241146;1
way/37393913;public;no;-1;surface;46.0654428;11.159449;1
way/37419453;public;no;12;surface;46.021507;11.1448543;1
way/37419683;customers;no;-1;surface;46.0169518;11.1448086;1
way/37484365;customers;no;-1;surface;46.05925;11.1180097;1
way/37484813;customers;no;-1;surface;46.0593062;11.1187239;1
way/37777878;public;no;-1;surface;46.0365738;11.1302256;1
way/37813979;public;yes;-1;surface;46.0749786;11.1261683;1
way/37835206;customers;no;-1;surface;46.095112;11.1096105;1
way/37867750;public;no;-1;surface;46.065502;11.0844365;1
way/39077051;customers;no;-1;surface;46.0477487;11.1465854;1
way/43924940;public;yes;201;underground;46.0670799;11.1152982;1
way/43975836;public;no;-1;surface;46.0615568;11.096763;1
way/53189076;customers;no;-1;surface;46.0845224;11.1143974;1
way/55541354;public;no;-1;surface;46.0986494;11.1153697;1
way/55697372;public;no;20;surface;46.0962413;11.1195813;1
way/56186746;public;no;-1;surface;46.0927863;11.1188128;1
way/58618660;public;no;12;surface;46.0809302;11.1143081;1
way/60097638;public;no;-1;surface;46.0237812;11.0448468;1
way/60097642;public;yes;40;surface;46.0207848;11.0427472;1
way/74577004;customers;no;-1;surface;46.0808253;11.0438289;1
way/75031191;public;yes;-1;surface;46.0730331;11.1214831;1
way/75356287;public;yes;-1;surface;46.0717483;11.124187;1
way/75727055;public;yes;-1;surface;46.0759922;11.1221674;1
way/78455781;public;no;-1;surface;46.092696;11.118374;1
way/79973172;customers;no;-1;surface;46.0941127;11.1160878;1
way/79973177;customers;no;-1;rooftop;46.0943579;11.1156639;1
way/79973183;customers;no;-1;surface;46.0931847;11.1151406;1
way/80368085;customers;no;-1;surface;46.0912746;11.1131288;1
way/80368090;customers;no;-1;surface;46.0910195;11.1126765;1
way/80368099;customers;no;-1;surface;46.091378;11.1121668;1
way/80368100;customers;no;-1;surface;46.0908869;11.1133172;1
way/80368106;customers;no;-1;surface;46.0915132;11.1126148;1
way/80370548;customers;no;-1;surface;46.0918901;11.1150273;1
way/80370553;customers;no;-1;rooftop;46.0941308;11.1159937;1
way/80373594;customers;no;-1;street_side;46.0920627;11.1153568;1
way/80373595;customers;no;-1;street_side;46.0914862;11.1156602;1
way/80412276;customers;no;-1;rooftop;46.0904835;11.1173186;1
way/80767242;no;no;-1;surface;46.070689;11.1182722;1
way/81083429;public;no;-1;surface;46.0732181;11.1493852;1
way/81988024;customers;no;-1;surface;46.0848668;11.1223429;1
way/81994410;customers;no;-1;rooftop;46.0140747;11.1323244;1
way/87547170;customers;no;-1;surface;46.0559258;11.1276762;1
way/95838435;customers;no;-1;surface;46.0771633;11.1112378;1
way/102186244;customers;no;-1;surface;46.0532922;11.1507741;1
way/106629508;customers;no;-1;surface;46.0894095;11.1184677;1
way/109788808;customers;no;-1;surface;46.0814037;11.1215948;1
way/109788820;customers;no;-1;surface;46.0794446;11.1226246;1
way/111646636;public;no;-1;surface;46.0875873;11.1212747;1
way/111662796;public;no;248;surface;46.0391028;11.1235978;1
way/112158135;public;no;17;street_side;46.0545961;11.1357411;1
way/114571739;public;no;-1;surface;46.1080055;11.1092676;1
