id;type;capacity;latitude;longitude;city_id
99;traditional;8;46.0626015;11.1319365;1
52;frame lock;6;46.0636405;11.1190583;1
55;frame lock;12;46.0707829;11.1212475;1
45;frame lock;15;46.0649250;11.1230612;1
53;frame lock;10;46.0629722;11.1189131;1
201;traditional;6;46.0522160;11.1340910;1
337;traditional;24;46.0687882;11.1193047;1
211;frame lock;6;46.0702936;11.1135763;1
19;frame lock;4;46.0680701;11.1253750;1
27;frame lock;10;46.0678181;11.1234974;1
35;traditional;52;46.0666305;11.1193604;1
36;traditional;36;46.0666903;11.1199211;1
162;frame lock;14;46.0596778;11.1152934;1
163;frame lock;10;46.0596696;11.1150809;1
44;frame lock;5;46.0650096;11.1230421;1
28;traditional;20;46.0674572;11.1218275;1
38;traditional;8;46.0675739;11.1199275;1
37;traditional;8;46.0671330;11.1201737;1
2;traditional;8;46.0700801;11.1204106;1
40;traditional;4;46.0688923;11.1198499;1
46;traditional;4;46.0648959;11.1239147;1
47;traditional;4;46.0648814;11.1241323;1
48;traditional;4;46.0648696;11.1242772;1
80;frame lock;18;46.0723370;11.1252604;1
446;traditional;5;46.0491663;11.1328042;1
212;traditional;12;46.0477479;11.1331903;1
226;traditional;16;46.0482653;11.1338934;1
172;traditional;10;46.0573040;11.1126496;1
137;frame lock;12;46.0652589;11.1318882;1
171;frame lock;10;46.0573116;11.1125944;1
173;frame lock;10;46.0573258;11.1127612;1
10;frame lock;6;46.0692681;11.1234183;1
338;traditional;4;46.0669463;11.1371012;1
340;traditional;5;46.0669264;11.1370623;1
341;traditional;12;46.0669089;11.1370464;1
125;traditional;10;46.0595044;11.1147572;1
155;traditional;10;46.0593522;11.1147819;1
159;traditional;10;46.0592737;11.1147900;1
122;traditional;5;46.0592082;11.1148011;1
223;traditional;5;46.1056160;11.1104054;1
6;frame lock;12;46.0693417;11.1214734;1
17;traditional;4;46.0692233;11.1244373;1
224;traditional;5;46.1044140;11.1106693;1
3;traditional;44;46.0697021;11.1213985;1
488;frame lock;6;46.0754447;11.1234482;1
14;traditional;4;46.0704948;11.1266639;1
221;traditional;10;46.1056800;11.1142393;1
220;traditional;10;46.1056909;11.1142397;1
339;traditional;6;46.0669376;11.1370803;1
225;traditional;5;46.1044224;11.1106674;1
202;traditional;8;46.0749915;11.1094496;1
167;frame lock;5;46.0606022;11.1141107;1
170;frame lock;5;46.0595402;11.1134934;1
41;traditional;12;46.0696825;11.1187171;1
1;traditional;36;46.0696424;11.1207731;1
4;traditional;32;46.0697325;11.1216832;1
9;traditional;8;46.0695097;11.1236206;1
174;frame lock;10;46.0571272;11.1136172;1
39;traditional;8;46.0686905;11.1201240;1
34;traditional;12;46.0653415;11.1220633;1
15;traditional;4;46.0689718;11.1259639;1
16;traditional;12;46.0689251;11.1259864;1
282;traditional;5;46.0647730;11.1246371;1
330;traditional;5;46.0878231;11.1209891;1
445;traditional;9;46.0435981;11.1315522;1
331;traditional;5;46.0877519;11.1210133;1
441;traditional;15;46.0650639;11.1219281;1
342;frame lock;10;46.0967791;11.1167942;1
13;frame lock;6;46.0701555;11.1253938;1
5;frame lock;6;46.0694132;11.1214611;1
343;frame lock;10;46.0974350;11.1190632;1
344;traditional;8;46.0684086;11.1238967;1
345;traditional;4;46.0684336;11.1240711;1
11;frame lock;6;46.0692386;11.1234507;1
346;traditional;5;46.1264566;11.1162708;1
349;traditional;6;46.1324326;11.1337557;1
192;frame lock;6;46.0715573;11.1242615;1
18;traditional;16;46.0684459;11.1244391;1
352;traditional;4;46.0710284;11.0595319;1
33;traditional;28;46.0652532;11.1225094;1
281;traditional;8;46.0647597;11.1246344;1
283;traditional;8;46.0647852;11.1246398;1
348;traditional;6;46.1285389;11.1200189;1
30;traditional;8;46.0659942;11.1241513;1
457;frame lock;12;46.0719151;11.1255967;1
458;frame lock;20;46.0708536;11.1260151;1
49;frame lock;34;46.0647745;11.1250390;1
21;frame lock;12;46.0678117;11.1247101;1
50;frame lock;24;46.0647063;11.1254299;1
313;traditional;12;46.0519973;11.1266303;1
314;traditional;8;46.0521522;11.1277233;1
328;traditional;5;46.0884120;11.1201464;1
353;traditional;5;46.0717184;11.0600641;1
351;frame lock;14;46.0892180;11.0660639;1
325;traditional;4;46.0815480;11.1016731;1
350;traditional;6;46.1323929;11.1337625;1
347;frame lock;6;46.1255537;11.1162937;1
354;traditional;5;46.0732635;11.0602246;1
453;traditional;6;46.1248087;11.1153267;1
32;traditional;8;46.0657428;11.1246663;1
29;traditional;10;46.0656596;11.1236287;1
269;frame lock;8;46.0622910;11.1253174;1
43;traditional;15;46.0650638;11.1229647;1
82;traditional;10;46.0533365;11.1209024;1
12;traditional;12;46.0699200;11.1239948;1
83;frame lock;30;46.0532373;11.1209984;1
329;traditional;7;46.0884173;11.1201838;1
403;traditional;5;46.0732617;11.0603868;1
418;frame lock;8;46.0750512;11.1438084;1
23;traditional;18;46.0674314;11.1237435;1
7;traditional;4;46.0694368;11.1216466;1
24;traditional;5;46.0671695;11.1234978;1
8;traditional;16;46.0695149;11.1215973;1
439;traditional;5;46.0071216;11.1306280;1
440;frame lock;10;46.0488090;11.1327644;1
284;traditional;8;46.0647837;11.1246633;1
26;traditional;8;46.0678407;11.1227436;1
31;traditional;12;46.0659398;11.1240083;1
419;frame lock;6;46.0748118;11.1442693;1
93;traditional;6;46.0581686;11.1215560;1
95;traditional;6;46.0580362;11.1208691;1
420;frame lock;8;46.0732132;11.1498993;1
431;frame lock;14;46.0378660;11.1084762;1
432;traditional;6;46.0378889;11.1066812;1
433;traditional;6;46.0377651;11.1064172;1
77;traditional;7;46.0597012;11.1213326;1
78;traditional;6;46.0596730;11.1213418;1
20;traditional;12;46.0681111;11.1252913;1
436;traditional;4;46.0173670;11.1053206;1
437;traditional;4;46.0173414;11.1053259;1
22;traditional;12;46.0675063;11.1237368;1
