WKT;id;note;ordinanza;via;codice
"POINT (663918.376117635 5103302.65761823)";"4";sul lato nord-ovest dell'intersezione con via Madruzzo;n. 1366/2020/27;via Rosmini;11
"POINT (664353.541061636 5103034.65603629)";"5";"lato est, all'altezza del numero civico 49";n. 1419/2020/27;corso 3 Novembre incrocio via Malfatti;20
"POINT (664107.210515265 5103027.58134447)";"7";"lato ovest, all'altezza del numero civico 12";n. 1366/2020/27;via Endrici;12
"POINT (663696.003156682 5106808.84925115)";"9";"lato sud, all'altezza del numero civico 5";n. 1366/2020/27;via Trener;8
"POINT (664664.677559527 5101164.19791666)";"14";in continuazione della stazione bike sharing E-motion;n. 1419/2020/27;via Degasperi;22
"POINT (663864.117403226 5105559.04096573)";"15";"lato ovest, immediatamente a sud dell'edificio identificato dal numero civico 99";n. 1366/2020/27;via del Brennero;7
"POINT (663973.765416702 5104035.58541668)";"38";"lato nord, all'altezza dei numeri civici 22-26";n. 1366/2020/27;via Torre Vanga;5
"POINT (665068.087517241 5101596.55324138)";"23";(lato ovest) all'altezza del civ. 150;n.   432/2022/27;via della Malpensada;28
"POINT (664545.018021552 5102817.44939224)";"26";(lato sud) all'altezza del numero civico 1;n.   432/2022/27;viale Rovereto;31
"POINT (663761.195833323 5103587.45104171)";"2";"lato ovest, in prossimita' del numero civico 28";n. 1366/2020/27;via Inama;9
"POINT (663867.104375 5103679.125)";"3";"lato ovest, in prossimita' del numero civico 38";n. 1366/2020/27;via Rosmini;10
"POINT (664532.633254478 5103490.78059157)";"6";in prossimita' stazione bike sharing E-motion;n. 1419/2020/27;via Barbacovi;23
"POINT (663809.851770867 5104372.80468749)";"8";in prossimita' dello studentato;n. 1419/2020/27;via Lampi incrocio corso Buonarroti;25
"POINT (664230.602708366 5104595.8104166)";"10";in prossimita' della stazione bike sharing E-motion e degli stalli taxi;n. 1419/2020/27;piazza di Centa;14
"POINT (664493.420630869 5103717.85757743)";"11";nello slargo in prossimita' della roggia;n. 1419/2020/27;via Grazioli;24
"POINT (664830.058667883 5102505.5033244)";"12";"lato sud, in prossimita' dell'intersezione con Largo Donatori Volontari del Sangue";n. 1366/2020/27;via Fogazzaro;13
"POINT (664270.839854072 5103236.63556067)";"13";"lato est, in prossimita' numero civ. 79";n. 1419/2020/27;via S. Croce;19
"POINT (665148.343504033 5103388.74252218)";"16";"in prossimita' dell'ingresso al liceo Galileo Galilei, in sostituzione di alcuni stalli moto";n. 1419/2020/27;viale Bolognini;21
"POINT (664284.748437487 5104176.64395835)";"18";in prossimita' del passaggio S. Dorigoni;n. 1419/2020/27;via Torre Verde;15
"POINT (664103.670423099 5105335.93047725)";"19";in prossimita' dell'intersezione con via Comboni;n. 1419/2020/27;via dei Solteri;26
"POINT (664283.90749995 5104292.3979167)";"20";"lato nord-ovest, in prossimita' del numero civico 1";n. 1419/2020/27;piazza Sanzio;17
"POINT (663699.964166712 5103780.23124998)";"21";"lato sud, in prossimita' del sottopasso pedonale ferroviario (lato est)";n. 1419/2020/27;via Canestrini;18
"POINT (663994.917708353 5104411.70729173)";"37";"lato ovest, in prossimita' dell'intersezione con via Segantini";n. 1366/2020/27;via Dogana;1
"POINT (664694.693045181 5101606.3848456)";"22";(lato ovest) in prossimita' dell'intersezione con via Fermi;n.   432/2022/27;G. Falcone Giardino Michele de Finis;27
"POINT (664087.379858427 5102695.5706553)";"24";(lato sud) in prossimita' del civ. 50;n.   432/2022/27;via Veneto;29
"POINT (664008.573567305 5102439.76339521)";"25";(lato sud) in prossimita' dell'intersezione con via San Pio X;n.   432/2022/27;via Matteotti;30
"POINT (664084.554346539 5103985.14254909)";"27";(lato sud) in prossimita' del civ. 6;n.   432/2022/27;via Manci;32
"POINT (663947.109018357 5105772.76681817)";"29";(lato sud) in prossimita' dell'intersezione con passaggio Carbonari;n.   432/2022/27;via Pranzelores;34
"POINT (663868.357607263 5104785.81684914)";"31";(lato ovest) in prossimita' del civ.1;n.   432/2022/27;piazza Cantore;36
"POINT (663610.931041664 5102940.3804167)";"1";lato sud aiuola in prossimita' dell'intersezione con viale della Costituzione e viale Olivetti;n. 1366/2020/27;piazza delle Donne Lavoratrici;6
"POINT (663968.615723363 5103864.62424247)";"32";(lato sud) in prossimita' dell'intersezione con piazza S. Maria Maggiore;n.   432/2022/27;vicolo Colico;37
"POINT (663439.705182039 5104062.49646121)";"33";(lato sud) in prossimita' del civ. 3;n.   432/2022/27;via Brescia;38
"POINT (664205.323059259 5103679.19740371)";"34";(lato nord) in prossimita' dell'intersezione con piazza Vittoria;n.   432/2022/27;via Calepina;39
"POINT (664158.975326024 5103486.74978214)";"35";(lato sud) in prossimita' civ. 12;n.   432/2022/27;via al Torrione;40
"POINT (664454.102475937 5102917.94057114)";"36";(lato nord) in prossimita' dell'intersezione con corso III Novembre;n.   432/2022/27;via Milano;41
"POINT (663465.679429337 5105476.27682123)";"28";(lato ovest) all'interno dell'area di parcheggio posta in prossimita' del civ.133;n.   432/2022/27;via Maccani;33
"POINT (663183.012291706 5104561.94374992)";"39";"nell'area parcheggio denominata ""Area ex Zuffo"" in prossimita' dell'ingresso al ""Bike Parking Zuffo""";n. 1366/2020/27;via Dos Trento;2
"POINT (663432.237327189 5102604.23493376)";"41";"nell'area parcheggio denominata ""Monte Baldo"" in prossimita' dell'accesso ovest alla medesima area";n. 1366/2020/27;via Sanseverino;3
"POINT (663375.121912793 5106229.59179603)";"30";(lato sud) in prossimita' accesso stazione linea ferroviaria Trento-Male';n.   432/2022/27;via Unterveger;35
