WKT;id;zona;tipologia;n_posti;fumetto;anno;nr_moduli;tot_bici;foto;codice_via;civico;barra;edificio;Tipo_generale;categoria
"LINESTRING (664892.638571259 5103212.11818873,664893.65805658 5103213.07395622)";"99";S. GIUSEPPE_S. CHIARA;Metallo 4 posti;"4";;"2023";"2";"8";99.JPG;"300";"24";;;Rastr_tradizionale;
"LINESTRING (663893.773436724 5103303.12837778,663894.285824936 5103299.69537676)";"52";S. GIUSEPPE_S.CHIARA;Verona 90;"6";VIA CARD. C. MADRUZZO - nr. posti 6;"2022";"1";"6";52.jpg;"1600";"6";;;Rastr_bloccatelaio;
"LINESTRING (664040.035942468 5104099.00833899,664044.322192472 5104099.96083899)";"55";CENTRO STORICO_PIEDICASTELLO;Verona 90;"6";PIAZZA DANTE - nr. posti 12;"2022";"2";"12";55.jpg;"880";"32";;BIBLIOTECA GIOVANILE;Rastr_bloccatelaio;
"LINESTRING (664199.1883997 5103456.23658201,664200.443750819 5103448.52513942)";"45";S. GIUSEPPE_S.CHIARA;Con gancio 5 posti;"5";PIAZZA DI FIERA - nr. posti 15;"2022";"3";"15";45.jpg;"1130";"17";;UFFICI COMUNALI;Rastr_bloccatelaio;
"LINESTRING (663884.499210088 5103228.72960941,663885.062837121 5103224.98917546)";"53";S. GIUSEPPE_S.CHIARA;Archetto;"2";VIA G. GIUSTI - nr. posti 5;"2022";"5";"10";53.jpg;"1350";;;;Rastr_bloccatelaio;
"LINESTRING (665089.956769275 5102063.19009074,665091.533785631 5102063.15823182)";"201";OLTREFERSINA;Arco;"6";;"2023";"1";"6";201.JPG;"4089";;;;Rastr_tradizionale;
"LINESTRING (663895.635025969 5103873.43628238,663900.052795699 5103874.28585348)";"337";CENTRO STORICO-PIEDICASTELLO;4 posti doppia;"8";;"2023";"3";"24";337.JPG;"2990";"7";;;Rastr_tradizionale;
"LINESTRING (663450.487464053 5104029.01093374,663450.303618801 5104029.6360076)";"211";CENTRO STORICO_PIEDICASTELLO;Verona 90;"6";;"2022";"1";"6";211.jpg;"2230";;;;Rastr_bloccatelaio;
"LINESTRING (664367.941093113 5103807.57484493,664370.90442645 5103805.61692826)";"19";ZTL;4 posti con gancio;"4";;"2022";"1";"4";19.jpg;"1200";"6";;;Rastr_bloccatelaio;
"LINESTRING (664221.278892592 5103773.65593704,664228.654033333 5103775.78338149)";"27";ZTL;Archetto Lodron;"10";PIAZZA LODRON - nr. posti 10;"2022";"1";"10";27.jpg;"1550";"19";;;Rastr_bloccatelaio;
"LINESTRING (663896.772699999 5103632.2517963,663920.316418517 5103636.22302593)";"35";ZTL;Metallo 4 posti;"4";VIA G. VERDI - nr. posti 52;"2022";"13";"52";35.jpg;"3440";"26";;FACOLTA' SOCIOLOGIA;Rastr_tradizionale;SCUOLA
"LINESTRING (663944.285625925 5103640.76157408,663959.177737036 5103643.31450741)";"36";ZTL;Metallo 4 posti;"4";VIA G. VERDI - nr. posti 36;"2022";"9";"36";36.jpg;"3440";"26";;FACOLTA' SOCIOLOGIA;Rastr_tradizionale;SCUOLA
"LINESTRING (663617.635129306 5102853.71347326,663611.479560544 5102853.0606099)";"162";S. GIUSEPPE_S. CHIARA;Con gancio 7 posti;"7";;"2022";"2";"14";162.jpg;"3842";"3";;BUC;Rastr_bloccatelaio;
"LINESTRING (663601.873142628 5102852.59427894,663594.41184716 5102851.47508461)";"163";S. GIUSEPPE_S. CHIARA;Con gancio 5 posti;"5";;"2022";"2";"10";163.jpg;"3842";"3";;BUC;Rastr_bloccatelaio;
"LINESTRING (664198.445436793 5103459.00347835,664197.728093296 5103464.48603222)";"44";S. GIUSEPPE_S.CHIARA;Con gancio 5 posti;"5";PIAZZA DI FIERA - nr. posti 5;"2022";"1";"5";44.JPG;"1130";"17";;UFFICI COMUNALI;Rastr_bloccatelaio;
"LINESTRING (664095.61784074 5103738.19852963,664098.170774074 5103724.1573963)";"28";ZTL;Metallo 4 posti;"4";PIAZZA DUOMO - nr. posti 20;"2022";"5";"20";28.jpg;"1040";"18";;;Rastr_tradizionale;
"LINESTRING (663947.334962962 5103740.11322963,663951.87351111 5103740.32597408)";"38";ZTL;Metallo 4 posti;"4";PIAZZA S. TERESA VERZERI - nr. posti 8;"2022";"2";"8";38.jpg;"3710";"4";;;Rastr_tradizionale;
"LINESTRING (663967.545685184 5103691.53658149,663972.367892592 5103691.96207037)";"37";ZTL;Metallo 4 posti;"4";VIA DON A. RIZZI - nr. posti 8;"2022";"2";"8";37.jpg;"2590";"6";;;Rastr_tradizionale;
"LINESTRING (663977.243428374 5104019.14644147,663981.847065914 5104020.20881936)";"2";ZTL;Metallo 4 posti;"4";VIA TORRE VANGA - nr. posti 8;"2022";"2";"8";2.jpg;"3300";"24";;BIBLIOTECA;Rastr_tradizionale;
"LINESTRING (663939.492371986 5103887.42065989,663939.902282556 5103885.67853997)";"40";ZTL;Metallo 4 posti;"4";PIAZZA S. MARIA MAGGIORE - nr. posti 4;"2022";"1";"4";40.jpg;"2990";"4";;;Rastr_tradizionale;
"LINESTRING (664265.088364201 5103450.95237691,664266.72800648 5103450.87551868)";"46";S. GIUSEPPE_S.CHIARA;Metallo 4 posti;"4";PIAZZA DI FIERA - nr. posti 4;"2022";"1";"4";46.jpg;"1130";"6";;;Rastr_tradizionale;
